Net generation United States electric utility monthly,,,,,,,,,
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,,,,,,,,
08:31:36 GMT+0530 (India Standard Time),,,,,,,,,
Data source: U.S. Energy Information Administration,,,,,,,,,
Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,other renewables thousand megawatthours,hydro-electric pumped storage thousand megawatthours,other gases thousand megawatthours,petroleum liquids thousand megawatthours
Jan 2022,170198.09204,50910.77318,55560.46746,34300.29,19408.27329,9186.27811,-300.805,0,629.04101
Dec 2021,202990.25763,63822.90589,66875.19968,39294.817,22394.80501,9323.69378,-420.342,0,1253.88976
Dec 2021,,,,,,,,,
Dec 2021,,,,,,,,,
Nov 2021,177439.33459,43992.6671,62548.19799,39243.964,21635.00669,9191.31367,-337.941,0,687.96992
Oct 2021,162701.85066,41645.58231,58942.31276,34882.319,17372.67955,8852.16839,-301.523,0,647.13462
Oct 2021,,,,,,,,,
Oct 2021,,,,,,,,,
Sep 2021,166407.27799,45722.47543,62206.18236,34522.285,15382.67232,7659.95553,-333.46,0,690.40235
Aug 2021,185991.21152,60310.64295,66831.68497,35305.664,15288.52205,7301.00061,-313.409,0,740.36142
Jul 2021,227826.91444,77465.31171,85233.24209,38751.84,18598.49465,6727.14729,-531.015,-0.27507,935.49064
Jul 2021,,,,,,,,,
Jul 2021,,,,,,,,,
Jun 2021,226361.26789,76451.54978,84946.61256,38370.528,20109.28476,5808.25001,-550.845,-0.26008,652.04572
May 2021,207175.70902,66423.90191,74851.67559,36854.337,21826.51122,6434.4971,-269.964,-0.27507,671.9754
May 2021,,,,,,,,,
May 2021,,,,,,,,,
Apr 2021,170418.81556,49416.68259,57584.38116,33490.728,21177.86466,8037.76082,-322.855,-0.28468,635.12736
Mar 2021,151505.0333,40783.61682,54242.56159,30125.961,17255.70913,8281.45845,-101.948,-0.38473,611.02053
Mar 2021,,,,,,,,,
Mar 2021,,,,,,,,,
Feb 2021,163642.6195,46241.08298,53745.50684,35324.705,18970.96776,8346.53567,-141.503,8.61941,599.04253
Jan 2021,180728.45032,66231.49971,53913.46978,34339.45,18611.53183,6207.66901,-339.236,5.19332,1188.16274
Dec 2020,191444.91654,60119.30984,62010.76073,39471.646,22459.43384,6401.32626,-332.582,-0.65535,731.8544
Dec 2020,,,,,,,,,