id,region_from,region_to,firm_ttc_mw,nonfirm_ttc_mw,tariff_mills_kwh
1,ERC_PHDL,ERC_WEST,3332.0,3702.0,0.0
2,ERC_REST,ERC_WEST,5529.0,5529.0,0.0
3,ERC_REST,SPP_WEST,600.0,600.0,6.0
4,ERC_FRNT,SPP_WEST,860.0,860.0,6.0
5,ERC_FRNT,ERC_REST,860.0,860.0,0.0
6,ERC_GWAY,SPP_WEST,845.0,845.0,6.0
7,ERC_GWAY,ERC_REST,845.0,845.0,0.0
8,ERC_WEST,ERC_REST,10555.0,10555.0,0.0
9,ERC_WEST,SPP_WEST,220.0,220.0,6.0
10,ERC_WEST,ERC_PHDL,3332.0,3702.0,0.0
11,FRCC,S_SOU,3600.0,3600.0,8.0
12,NENG_CT,NENGREST,2950.0,2950.0,0.0
13,NENG_CT,NY_Z_G-I,600.0,600.0,3.0
14,NENG_CT,NY_Z_K,760.0,760.0,3.0
15,NENGREST,NENG_CT,2950.0,2950.0,0.0
16,NENGREST,NENG_ME,2000.0,2000.0,0.0
17,NENGREST,NY_Z_F,800.0,800.0,3.0
18,NENGREST,NY_Z_D,0.0,0.0,3.0
19,NENGREST,CN_PQ,1650.0,1650.0,8.0
20,NENG_ME,NENGREST,2000.0,2000.0,0.0
21,NENG_ME,CN_NB,800.0,800.0,8.0
22,MIS_AR,MIS_LA,1732.0,2688.0,0.0
23,MIS_AR,S_D_AECI,1039.0,2423.0,1.0
24,MIS_AR,SPP_WEST,792.0,1571.0,6.0
25,MIS_AR,SPP_N,0.0,167.0,6.0
26,MIS_AR,S_C_TVA,2143.0,2546.0,6.0
27,MIS_IL,S_C_TVA,1200.0,1500.0,6.0
28,MIS_IL,MIS_IA,0.0,100.0,0.0
29,MIS_IL,PJM_West,0.0,1300.0,3.0
30,MIS_IL,PJM_COMD,3200.0,3700.0,3.0
31,MIS_IL,MIS_INKY,956.0,2269.0,0.0
32,MIS_IL,MIS_MIDA,716.0,1174.0,0.0
33,MIS_IL,MIS_MO,3400.0,4500.0,0.0
34,MIS_INKY,S_C_KY,2245.0,4108.0,6.0
35,MIS_INKY,S_C_TVA,300.0,500.0,6.0
36,MIS_INKY,MIS_LMI,0.0,100.0,0.0
37,MIS_INKY,MIS_IL,956.0,2269.0,0.0
38,MIS_INKY,PJM_West,5441.0,6509.0,3.0
39,MIS_INKY,PJM_COMD,2044.0,3355.0,3.0
40,MIS_IA,PJM_COMD,0.0,600.0,3.0
41,MIS_IA,MIS_WUMS,0.0,0.0,0.0
42,MIS_IA,MIS_IL,0.0,100.0,0.0
43,MIS_IA,MIS_MIDA,1616.0,3074.0,0.0
44,MIS_IA,MIS_MO,223.0,711.0,0.0
45,MIS_IA,MIS_MNWI,1195.0,2000.0,0.0
46,MIS_IA,SPP_WAUE,0.0,100.0,6.0
47,MIS_IA,S_D_AECI,0.0,100.0,1.0
48,MIS_MIDA,SPP_NEBR,1912.0,2868.0,6.0
49,MIS_MIDA,SPP_N,0.0,50.0,6.0
50,MIS_MIDA,MIS_IA,1616.0,3074.0,0.0
51,MIS_MIDA,MIS_IL,716.0,1174.0,0.0
52,MIS_MIDA,MIS_MO,716.0,1574.0,0.0
53,MIS_MIDA,MIS_MNWI,0.0,0.0,0.0
54,MIS_MIDA,SPP_WAUE,600.0,1000.0,6.0
55,MIS_MIDA,PJM_COMD,2000.0,3000.0,3.0
56,MIS_MIDA,S_D_AECI,0.0,30.0,1.0
57,MIS_LA,MIS_WOTA,1200.0,2122.0,0.0
58,MIS_LA,SPP_WEST,905.0,1174.0,6.0
59,MIS_LA,MIS_AR,1732.0,2688.0,0.0
60,MIS_LA,S_SOU,797.0,1732.0,6.0
61,MIS_LA,MIS_D_MS,1732.0,2070.0,0.0
62,MIS_LA,MIS_AMSO,1699.0,2402.0,0.0
63,MIS_LMI,MIS_WUMS,0.0,100.0,0.0
64,MIS_LMI,PJM_West,1400.0,2800.0,3.0
65,MIS_LMI,MIS_INKY,0.0,100.0,0.0
66,MIS_LMI,CN_ON,400.0,1200.0,8.0
67,MIS_LMI,PJM_ATSI,1262.0,2036.0,3.0
68,MIS_MNWI,MIS_WUMS,1480.0,2400.0,0.0
69,MIS_MNWI,MIS_IA,1195.0,2000.0,0.0
70,MIS_MNWI,MIS_MAPP,2150.0,5000.0,6.0
71,MIS_MNWI,MIS_MIDA,0.0,0.0,0.0
72,MIS_MNWI,SPP_WAUE,2000.0,3000.0,6.0
73,MIS_MNWI,CN_MB,200.0,1700.0,8.0
74,MIS_MNWI,CN_ON,0.0,162.0,8.0
75,MIS_D_MS,S_SOU,94.0,432.0,6.0
76,MIS_D_MS,MIS_LA,1732.0,2070.0,0.0
77,MIS_D_MS,MIS_AMSO,200.0,1200.0,0.0
78,MIS_D_MS,S_C_TVA,1949.0,3767.0,6.0
79,MIS_MO,SPP_N,300.0,1000.0,6.0
80,MIS_MO,MIS_IA,223.0,711.0,0.0
81,MIS_MO,MIS_IL,3400.0,4500.0,0.0
82,MIS_MO,MIS_MIDA,716.0,1574.0,0.0
83,MIS_MO,S_D_AECI,2100.0,3235.0,1.0
84,MIS_MAPP,MIS_MNWI,2150.0,5000.0,6.0
85,MIS_MAPP,SPP_WAUE,1000.0,1500.0,6.0
86,MIS_MAPP,CN_MB,300.0,500.0,8.0
87,MIS_AMSO,MIS_LA,1699.0,2402.0,0.0
88,MIS_AMSO,MIS_D_MS,200.0,1200.0,0.0
89,MIS_WOTA,MIS_LA,1200.0,2122.0,0.0
90,MIS_WOTA,SPP_WEST,0.0,1121.0,6.0
91,MIS_WUMS,PJM_COMD,1200.0,2200.0,3.0
92,MIS_WUMS,MIS_LMI,0.0,100.0,0.0
93,MIS_WUMS,MIS_MNWI,1480.0,2400.0,0.0
94,MIS_WUMS,MIS_IA,0.0,0.0,0.0
95,NY_Z_A,PJM_PENE,500.0,1000.0,6.0
96,NY_Z_A,CN_ON,1300.0,1300.0,8.0
97,NY_Z_A,NY_Z_B,1930.0,2070.0,0.0
98,NY_Z_B,NY_Z_A,2270.0,2410.0,0.0
99,NY_Z_B,NY_Z_C&E,1300.0,1300.0,0.0
100,NY_Z_C&E,PJM_PENE,755.0,1500.0,6.0
101,NY_Z_C&E,NY_Z_B,1300.0,1300.0,0.0
102,NY_Z_C&E,NY_Z_D,1600.0,1600.0,0.0
103,NY_Z_C&E,NY_Z_F,3250.0,3250.0,0.0
104,NY_Z_C&E,NY_Z_G-I,2150.0,2150.0,0.0
105,NY_Z_D,CN_PQ,1000.0,1000.0,8.0
106,NY_Z_D,NY_Z_C&E,2650.0,2650.0,0.0
107,NY_Z_D,NENGREST,150.0,150.0,3.0
108,NY_Z_D,CN_ON,300.0,300.0,8.0
109,NY_Z_F,NY_Z_C&E,1999.0,1999.0,0.0
110,NY_Z_F,NY_Z_G-I,3475.0,3475.0,0.0
111,NY_Z_F,NENGREST,800.0,800.0,3.0
112,NY_Z_G-I,NY_Z_C&E,1600.0,1600.0,0.0
113,NY_Z_G-I,NY_Z_F,1999.0,1999.0,0.0
114,NY_Z_G-I,NY_Z_J,4450.0,4450.0,0.0
115,NY_Z_G-I,NY_Z_K,1290.0,1290.0,0.0
116,NY_Z_G-I,NENG_CT,800.0,800.0,3.0
117,NY_Z_J,NY_Z_G-I,1999.0,1999.0,0.0
118,NY_Z_J,NY_Z_K,175.0,175.0,0.0
119,NY_Z_K,PJM_EMAC,660.0,660.0,6.0
120,NY_Z_K,NY_Z_G-I,490.0,490.0,0.0
121,NY_Z_K,NY_Z_J,283.0,283.0,0.0
122,NY_Z_K,NENG_CT,760.0,760.0,3.0
123,PJM_West,S_VACA,1219.0,2208.0,6.0
124,PJM_West,S_C_TVA,2119.0,3118.0,6.0
125,PJM_West,S_C_KY,1214.0,2154.0,6.0
126,PJM_West,PJM_AP,4800.0,6300.0,0.0
127,PJM_West,PJM_Dom,1530.0,3800.0,0.0
128,PJM_West,PJM_COMD,980.0,4000.0,0.0
129,PJM_West,PJM_ATSI,7400.0,9700.0,0.0
130,PJM_West,MIS_LMI,1400.0,2800.0,3.0
131,PJM_West,MIS_IL,0.0,1300.0,3.0
132,PJM_West,MIS_INKY,5125.0,6415.0,3.0
133,PJM_AP,PJM_SMAC,1100.0,2200.0,0.0
134,PJM_AP,PJM_Dom,5400.0,8000.0,0.0
135,PJM_AP,PJM_West,4800.0,6300.0,0.0
136,PJM_AP,PJM_PENE,2785.0,5577.78396393588,0.0
137,PJM_AP,PJM_ATSI,2444.0,3542.0,0.0
138,PJM_AP,PJM_WMAC,0.0,100.0,0.0
139,PJM_ATSI,PJM_AP,2444.0,3542.0,0.0
140,PJM_ATSI,PJM_PENE,0.0,1500.0,0.0
141,PJM_ATSI,PJM_West,7400.0,9700.0,0.0
142,PJM_ATSI,MIS_LMI,1262.0,2036.0,3.0
143,PJM_COMD,PJM_West,980.0,4000.0,0.0
144,PJM_COMD,MIS_WUMS,1200.0,2200.0,3.0
145,PJM_COMD,MIS_IA,0.0,600.0,3.0
146,PJM_COMD,MIS_IL,3200.0,3700.0,3.0
147,PJM_COMD,MIS_INKY,3840.0,5098.0,3.0
148,PJM_COMD,MIS_MIDA,2000.0,3000.0,3.0
149,PJM_Dom,S_VACA,1000.0,2598.0,6.0
150,PJM_Dom,PJM_AP,5400.0,8000.0,0.0
151,PJM_Dom,PJM_SMAC,1200.0,2800.0,0.0
152,PJM_Dom,PJM_West,1530.0,3800.0,0.0
153,PJM_EMAC,NY_Z_K,660.0,660.0,6.0
154,PJM_EMAC,PJM_SMAC,300.0,1095.0,0.0
155,PJM_EMAC,PJM_WMAC,6900.0,6900.0,0.0
156,PJM_PENE,NY_Z_C&E,755.0,1500.0,6.0
157,PJM_PENE,NY_Z_A,500.0,1000.0,6.0
158,PJM_PENE,PJM_AP,2785.0,5577.78396393588,0.0
159,PJM_PENE,PJM_WMAC,3565.0,3565.0,0.0
160,PJM_PENE,PJM_ATSI,0.0,1500.0,0.0
161,PJM_SMAC,PJM_AP,1100.0,2200.0,0.0
162,PJM_SMAC,PJM_Dom,1200.0,2800.0,0.0
163,PJM_SMAC,PJM_EMAC,300.0,1095.0,0.0
164,PJM_SMAC,PJM_WMAC,780.0,2500.0,0.0
165,PJM_WMAC,PJM_SMAC,780.0,2500.0,0.0
166,PJM_WMAC,PJM_EMAC,6900.0,6900.0,0.0
167,PJM_WMAC,PJM_PENE,3565.0,3565.0,0.0
168,PJM_WMAC,PJM_AP,0.0,100.0,0.0
169,S_C_KY,PJM_West,1214.0,2154.0,6.0
170,S_C_KY,MIS_INKY,2245.0,4108.0,6.0
171,S_C_KY,S_C_TVA,764.0,1386.0,0.0
172,S_C_TVA,S_SOU,3196.0,5098.0,8.0
173,S_C_TVA,S_VACA,216.0,276.0,8.0
174,S_C_TVA,MIS_IL,1200.0,1500.0,6.0
175,S_C_TVA,PJM_West,2119.0,3118.0,6.0
176,S_C_TVA,MIS_INKY,300.0,500.0,6.0
177,S_C_TVA,S_C_KY,764.0,1386.0,0.0
178,S_C_TVA,MIS_D_MS,1949.0,3767.0,6.0
179,S_C_TVA,MIS_AR,2143.0,2546.0,6.0
180,S_C_TVA,S_D_AECI,0.0,600.0,8.0
181,S_D_AECI,MIS_IA,0.0,100.0,1.0
182,S_D_AECI,MIS_MO,2100.0,3235.0,1.0
183,S_D_AECI,MIS_MIDA,0.0,30.0,1.0
184,S_D_AECI,MIS_AR,1039.0,2423.0,1.0
185,S_D_AECI,SPP_N,1130.0,2065.0,6.0
186,S_D_AECI,SPP_WEST,1172.0,1703.0,6.0
187,S_D_AECI,S_C_TVA,0.0,600.0,8.0
188,S_D_AECI,SPP_WAUE,0.0,208.0,6.0
189,S_D_AECI,SPP_NEBR,0.0,1195.0,6.0
190,S_SOU,MIS_D_MS,94.0,432.0,6.0
191,S_SOU,S_VACA,1400.0,3000.0,8.0
192,S_SOU,FRCC,3600.0,3600.0,8.0
193,S_SOU,S_C_TVA,4717.0,5554.0,8.0
194,S_SOU,MIS_LA,797.0,1732.0,6.0
195,S_VACA,S_SOU,1400.0,3000.0,8.0
196,S_VACA,S_C_TVA,216.0,276.0,8.0
197,S_VACA,PJM_Dom,1000.0,2598.0,6.0
198,S_VACA,PJM_West,1219.0,2208.0,6.0
199,SPP_NEBR,SPP_N,1433.0,2315.0,0.0
200,SPP_NEBR,SPP_WEST,0.0,1504.0,0.0
201,SPP_NEBR,SPP_WAUE,1440.0,1680.0,0.0
202,SPP_NEBR,MIS_MIDA,1912.0,2868.0,6.0
203,SPP_NEBR,S_D_AECI,0.0,1195.0,6.0
204,SPP_N,SPP_WEST,2903.0,5448.0,0.0
205,SPP_N,SPP_NEBR,1433.0,2315.0,0.0
206,SPP_N,SPP_SPS,469.0,2094.0,0.0
207,SPP_N,MIS_MIDA,0.0,50.0,6.0
208,SPP_N,MIS_MO,300.0,1000.0,6.0
209,SPP_N,MIS_AR,0.0,167.0,6.0
210,SPP_N,S_D_AECI,1130.0,2065.0,6.0
211,SPP_SPS,SPP_WEST,1289.0,2655.0,0.0
212,SPP_SPS,SPP_N,469.0,2094.0,0.0
213,SPP_SPS,WECC_NM,610.0,610.0,6.0
214,SPP_WEST,SPP_N,2903.0,5448.0,0.0
215,SPP_WEST,SPP_SPS,1289.0,2655.0,0.0
216,SPP_WEST,MIS_WOTA,0.0,1121.0,6.0
217,SPP_WEST,SPP_NEBR,0.0,1504.0,0.0
218,SPP_WEST,ERC_WEST,220.0,220.0,6.0
219,SPP_WEST,ERC_REST,600.0,600.0,6.0
220,SPP_WEST,MIS_AR,792.0,1571.0,6.0
221,SPP_WEST,MIS_LA,905.0,1174.0,6.0
222,SPP_WEST,S_D_AECI,1172.0,1703.0,6.0
223,SPP_KIAM,ERC_REST,1178.0,1178.0,6.0
224,SPP_KIAM,SPP_WEST,1178.0,1178.0,0.0
225,SPP_WAUE,MIS_IA,0.0,100.0,6.0
226,SPP_WAUE,MIS_MNWI,2000.0,3000.0,6.0
227,SPP_WAUE,MIS_MAPP,1000.0,1500.0,6.0
228,SPP_WAUE,MIS_MIDA,600.0,1000.0,6.0
229,SPP_WAUE,SPP_NEBR,700.0,1000.0,0.0
230,SPP_WAUE,CN_SK,0.0,100.0,8.0
231,SPP_WAUE,S_D_AECI,0.0,208.0,6.0
232,WECC_AZ,WECC_UT,250.0,250.0,8.0
233,WECC_AZ,WECC_NM,2400.0,2400.0,0.0
234,WECC_AZ,WECC_SNV,4727.0,4727.0,8.0
235,WECC_AZ,WEC_LADW,692.0,692.0,8.0
236,WECC_AZ,WECC_SCE,2192.0,2192.0,8.0
237,WECC_AZ,WECC_IID,255.0,255.0,0.0
238,WECC_AZ,WEC_SDGE,1655.0,1655.0,8.0
239,WEC_BANC,WEC_CALN,2750.0,2750.0,8.0
240,WECC_CO,WECC_WY,1400.0,1400.0,0.0
241,WECC_CO,WECC_UT,650.0,650.0,8.0
242,WECC_CO,WECC_NM,614.0,614.0,8.0
243,WECC_ID,WECC_PNW,2850.0,2850.0,0.0
244,WECC_ID,WECC_MT,200.0,200.0,0.0
245,WECC_ID,WECC_WY,1500.0,1500.0,8.0
246,WECC_ID,WECC_UT,680.0,680.0,0.0
247,WECC_ID,WECC_NNV,350.0,350.0,0.0
248,WECC_IID,WECC_AZ,163.0,163.0,0.0
249,WECC_IID,WECC_SCE,600.0,600.0,8.0
250,WECC_IID,WEC_SDGE,150.0,150.0,8.0
251,WEC_LADW,WECC_PNW,2858.0,2858.0,8.0
252,WEC_LADW,WECC_UT,1400.0,1400.0,8.0
253,WEC_LADW,WECC_AZ,468.0,468.0,8.0
254,WEC_LADW,WECC_SNV,3883.0,3883.0,8.0
255,WEC_LADW,WECC_SCE,3750.0,3750.0,0.0
256,WECC_MT,WECC_PNW,2000.0,2000.0,0.0
257,WECC_MT,WECC_WY,400.0,400.0,8.0
258,WECC_MT,WECC_ID,325.0,325.0,0.0
259,WECC_NM,SPP_SPS,610.0,610.0,6.0
260,WECC_NM,WECC_UT,300.0,300.0,8.0
261,WECC_NM,WECC_CO,664.0,664.0,8.0
262,WECC_NM,WECC_AZ,2400.0,2400.0,0.0
263,WEC_CALN,WECC_PNW,3675.0,3675.0,8.0
264,WEC_CALN,WECC_NNV,100.0,100.0,8.0
265,WEC_CALN,WEC_BANC,2750.0,2750.0,8.0
266,WEC_CALN,WECC_SCE,3675.0,3675.0,0.0
267,WECC_NNV,WECC_PNW,300.0,300.0,0.0
268,WECC_NNV,WECC_ID,185.0,185.0,0.0
269,WECC_NNV,WECC_UT,235.0,235.0,0.0
270,WECC_NNV,WEC_CALN,100.0,100.0,8.0
271,WECC_PNW,CN_BC,2000.0,2000.0,8.0
272,WECC_PNW,WECC_MT,500.0,500.0,0.0
273,WECC_PNW,WECC_ID,1650.0,1650.0,0.0
274,WECC_PNW,WECC_NNV,300.0,300.0,0.0
275,WECC_PNW,WEC_LADW,2600.0,2600.0,8.0
276,WECC_PNW,WEC_CALN,4200.0,4200.0,8.0
277,WEC_SDGE,WECC_AZ,1168.0,1168.0,8.0
278,WEC_SDGE,WECC_IID,150.0,150.0,8.0
279,WEC_SDGE,WECC_SCE,1273.0,1273.0,0.0
280,WECC_SCE,WECC_AZ,1968.0,1968.0,8.0
281,WECC_SCE,WECC_IID,600.0,600.0,8.0
282,WECC_SCE,WEC_SDGE,1273.0,1273.0,0.0
283,WECC_SCE,WECC_SNV,2814.0,2814.0,8.0
284,WECC_SCE,WEC_LADW,3750.0,3750.0,0.0
285,WECC_SCE,WEC_CALN,3000.0,3000.0,0.0
286,WECC_SNV,WECC_UT,250.0,250.0,0.0
287,WECC_SNV,WECC_AZ,4785.0,4785.0,8.0
288,WECC_SNV,WEC_LADW,2300.0,2300.0,8.0
289,WECC_SNV,WECC_SCE,1700.0,1700.0,8.0
290,WECC_UT,WECC_ID,775.0,775.0,0.0
291,WECC_UT,WECC_WY,1600.0,1600.0,8.0
292,WECC_UT,WECC_NNV,360.0,360.0,0.0
293,WECC_UT,WECC_CO,650.0,650.0,8.0
294,WECC_UT,WECC_NM,350.0,350.0,8.0
295,WECC_UT,WECC_AZ,250.0,250.0,8.0
296,WECC_UT,WECC_SNV,140.0,140.0,0.0
297,WECC_UT,WEC_LADW,1920.0,1920.0,8.0
298,WECC_WY,WECC_MT,200.0,200.0,8.0
299,WECC_WY,WECC_ID,3700.0,3700.0,8.0
300,WECC_WY,WECC_CO,1400.0,1400.0,0.0
301,WECC_WY,WECC_UT,1800.0,1800.0,8.0
302,CN_AB,CN_BC,1000.0,1000.0,3.0
303,CN_AB,CN_SK,153.0,153.0,3.0
304,CN_BC,CN_AB,800.0,800.0,3.0
305,CN_BC,WECC_PNW,2000.0,2000.0,8.0
306,CN_NL,CN_NF,1.0,1.0,3.0
307,CN_NL,CN_PQ,5500.0,5500.0,3.0
308,CN_MB,MIS_MNWI,200.0,1700.0,8.0
309,CN_MB,MIS_MAPP,300.0,500.0,8.0
310,CN_MB,CN_ON,225.0,225.0,3.0
311,CN_MB,CN_SK,500.0,500.0,3.0
312,CN_NB,NENG_ME,700.0,1000.0,8.0
313,CN_NB,CN_NS,300.0,300.0,3.0
314,CN_NB,CN_PE,210.0,210.0,3.0
315,CN_NB,CN_PQ,770.0,770.0,3.0
316,CN_NF,CN_NL,1.0,1.0,3.0
317,CN_NS,CN_NB,350.0,350.0,3.0
318,CN_ON,NY_Z_A,1700.0,1700.0,8.0
319,CN_ON,MIS_MNWI,0.0,162.0,8.0
320,CN_ON,MIS_LMI,0.0,1750.0,8.0
321,CN_ON,CN_MB,225.0,225.0,3.0
322,CN_ON,CN_PQ,1545.0,1545.0,3.0
323,CN_ON,NY_Z_D,300.0,300.0,8.0
324,CN_PE,CN_NB,105.0,105.0,3.0
325,CN_PQ,NY_Z_D,1500.0,1500.0,8.0
326,CN_PQ,NENGREST,1600.0,2217.0,8.0
327,CN_PQ,CN_NB,1017.0,1017.0,3.0
328,CN_PQ,CN_NL,5500.0,5500.0,3.0
329,CN_PQ,CN_ON,2730.0,2730.0,3.0
330,CN_SK,SPP_WAUE,0.0,100.0,8.0
331,CN_SK,CN_AB,153.0,153.0,3.0
332,CN_SK,CN_MB,400.0,400.0,3.0
